0 1137 14 10453 4 30 0 5033 589 9 50 28 18512 27 5 12 18 9 222 4 159 7 16806 151 1413 73 5818 6680 1 400000 1461 43707 46 4411 26984 2|36|0.69444
0 78615 5134 10116 3 28 0 2370 3 0 6819 27 12304 14 100 1324 12 7 3235 3 1374 86 36 12423 4466 400000 1294 1754 9 2852 3138 3 63553 23462 9 55753 2|37|0.8333299999999999
400000 7106 4126 12902 7 15413 3 1499 65 7 306 1156 2042 1 7 306 56 1481 22735 4 0 523 65 34 0 1115 2083 2032 14691 0 2021 1 12598 1 2943 3 0 2365 2|39|0.625
81 1151 269 21 114 453 54 33 40 575 3 44101 297 69441 17 5965 3 764 2|19|0.5
553 0 743 14 149 12387 187 2|8|0.72222
401 46 36 81 267 24365 21 130 3 56340 9 9284 13 28 0 68 27 5 28 0 1496 1 27 56340 14 29 36229 12316 5 20507 1773 2|32|0.8333299999999999
120 0 2961 791 6 2366 0 22693 26528 3 0 12779 6 37 94229 3 13474 5 897 14 14764 2|22|0.875
153 3 0 9916 3 24891 6696 14 12 20 18245 0 4398 17 22698 5 43806 2|18|0.72222
7 9045 56 75767 3788 73 28 43315 27|9|0.8333299999999999
28 3828 26533 27 14512 2435 2|7|0.73611
219 2905 1 219 608 1 219 2050 1 219 2469 1 219 2408 1 219 22181 2|18|0.9027799999999999
81 189 642 739 10089 10 37 45 113 81 86 2271 59 2649 1743 1840 13 0 172 5 149 30 19945 2|24|0.44443999999999995
13190 117 37 159 20 473 2|7|0.80556
7 28530 3342 22 58 1 3742 71229 3 5744 29356 32 306 5 372 118 89 44 5984 81454 0 31520 3 2751 15207 608 2|27|0.44443999999999995
149 1 37 15175 14 2905 1 5 1551 4 77 4702 4345 11184 2|15|0.81944
803 400000 279 118298 5 16122 711 22757 13409 400000 159 7 11025 968 22 47719 0 4398 17 634 5 6640 2|23|0.75
81 2385 66 3 0 219 1749 17 2195 7650 65 19402 3 17393 2078 17 7 45142 3 2842 10 71 1970 2|24|0.61111
658 400000 0 9693 1443 3 28 894 1637 58 27 414 36 30 19 30490 19 2021 2|19|0.44443999999999995
83 81 835 2185 400000 4580 1 127 21 64 889 2375 20 66 2|15|0.77778
81 769 965 835 20 2|6|0.81944
28 50870 27 31 51 982 100 143 1 12 151 7 2147 28 392545 805 27|17|0.63889
355 0 156 1144 13 7 1115 68 2301 2|10|0.55556
43588 14 11025 1 2394 29 17033 1 108681 2763 4 100536 9 49352 11 5 400000 2469 2|19|0.875
0 16050 319 1427 31 399 100 400000 12 1195 5 3149 17862 1219 4087 236 450 4 35310 66 0 182 353 873 2|25|0.55556
932 79852 57 15 48 3 0 1588 100 1552 37 62 1 34 20 9 588 56 3 0 182 1922 219 873 2|25|0.51389
0 3826 32 7872 2|5|0.94444
39 32 102 907 20 1089 0 1305 4 0 2496 2|12|0.72222
37 14 70 7 50 1159 2|7|0.33333
20 9 51 751 106 34 332 100 24330 46 17 100 181 5565 2|15|0.81944
20 9 36 224691 65 47 23626 5 1702 1 34 41 5572 20 2|15|0.56944
102 28 2552 27 8140 6 4735 20 907 60 10 17 47 1058 2|15|0.73611
897 1 10817 1 12088 17 8237 5 4735 1 5 871 7 219 79 2|16|0.86111
34 59006 316344 31 690 51 153 3 10 0 96 153 19910 9 54243 46130 3663 28 134 12120 27 4413 47 12925 5 5114 9 4069 6951 434|30|0.68056
181 3 0 1005 9 9916 2345 6 0 18339 80035 3 6084 5 400000 2|16|0.73611
44 108664 1919 32 191 23110 2|7|0.72222
0 2818 1718 464 1879 96 2400 1 413 1 14 0 48 984 21 3312 9914 1752 6807 1155 1 38 431 7 1120 3 517 106 0 1005 9 713 2|33|0.54167
181 3 20 934 25 0 9147 1 58445 3171 21 47 410 3826 2|15|0.8333299999999999
28 676 6789 27 2040 47 9070 383 1 34 14 2223 2049 4 326 4 0 389 2|19|0.40278
28 2612 1254 27 850 19 29 3217 34276 5 2881 3 2323 64261 6 0 13124 1592|18|0.65278
83 1995 4694 9 1698 1120 14 1 4 77 1714 22 338 1 55723 140 1 26 1587 4 18325 414 30 175 1861 2|26|0.52778
434 7 10884 333 1005 22 47 2621 89 29 5679 3 0 36883 12 117639 0 11560 61649 3 0 5665 9 434 0 319 9 1945 31 7 28 102 15 20 64 10 188 27|38|0.16667
2518 4 20 1 34 117 0 5665 9 1 0 1305 63 14 7 353 435 3 2905 2|20|0.77778
892 2|2|0.33333
28 176032 314 27 189 326 17 0 1975 28 10 1034 319 25072 91 805 27|17|0.61111
116 285 31701 1613 65 19 0 400000 4524 38 21444 25 0 2248 5 31699 66 6 0 6427 2|21|0.375
34 733 20 46 36 1 20 9 48 3 0 96 3366 1 29026 850 41 462 541 2|20|0.94444
434 7 25798 2841 12 4663 47 593 3 12934 65 1071 7 30537 1 1071 7 134909 5 1 4 192 353 7794 1 0 6560 13174 7299 2|30|0.86111
0 38364 219485 3 400000 13420 5 47 35210 69638 5 32352 3 2183 79 5 863 54 159 20 7 353 2365 4 1716 17 1813 5 234 4 5354 974 19 760 2|35|0.88889
10 155 38 4926 1000 13 5940 1 42262 4374 1 37 414 36 1914 117 0 3734 366 3 4325 1 212 20 14 591 6129 12 151 0 400000 5992 26532 43 7299 44 400000 138 10 29 400000 2|42|0.8333299999999999
20 1710 4 0 2621 3 102 20 1403 889 4 621 392 2167 1 4 30 7 1749 6 7 85 3 2122 1 4 30 7 1606 4702 6 835 17 7 1749 1 5 4 3342 0 365 42580 2686 12 14 214 65 9419 20 1144 81 2|52|0.81944
7 3143 1825 25 1444 2459 12 841 317 605 4 30 32040 1 37 48 14 7 3714 5 4454 5 2909 877 523 2|26|0.66667
20 31 56 73 7 306 4039 12 32 34401 575 4 30 27412 5712 6 0 25012 5296 16957 3 64672 2|23|0.65278
875 17 77 30761 31932 1 29039 5 77 5128 2441 1 0 9045 91 934 75 47 261 6 0 126 343 2|24|0.45833
29 77125 1 33326 15890 12 24155 47 3599 226 296 9284 46 15838 2 57|16|0.75
7 4434 1 29060 3634 3 586 1005 1 82693 523 5 209 15303 2|15|0.66667
0 22170 9806 33 936 13 158 2284 61 20 934 4 7576 2|14|0.38889
20 9 91 6 11395 7178 12 36824 12 32 1167 10 209 1247 682 12441 661 49 2|19|0.36111
7 11025 1556 1005 65 6 853 1 0 254 6 397 2711 2|14|1.0
28 4158 1749 27 14 29 2018 9 1005 58 5 11432 2|13|0.70833
41 3029 420 25 37 50 1062 3 41892 120 19 41 2448 41 54 65 17 11475 2251 2|20|0.875
10 17690 3 348 5992 1 1876 2627 14 100 1727 17 566 50092 20 9 117 5249 5 222 4 45027 6859 2|24|0.9027799999999999
102 9 588 100 7628 59 0 2153 14 44 14480 4 7547 271 2|15|0.70833
48335 22033 4 400000 4881 31351 12 414 151 1157 1614 989 7 65205 89 149 1 39069 9 634 5 0 45493 3 20 64 1181 11442|28|0.54167
29 63654 11539 1170 2|5|0.36111
83 81 267 19 1751 6146 4 2459 19 81 32 2641 101 1 5 0 2049 4805 3 473 50870 78783 81 1 127 81 267 22 0 248 319 2|32|0.63889
37 1062 2478 1515 0 929 9 15865 10 0 12344 319 5035 3 48512 4 7 6188 13909 3 5992 9 8892 4 1346 6 10 1446 1 1577 1221 2|32|0.55556
77 2459 9099 600 19 39 399 6568 5400 2|10|0.44443999999999995
3862 28 42124 27 174 82 25 114 5 41 472 1085 155 38 822 20 43 33 29 2166 4 593 2|23|0.66667
3188 9 28185 5 96 58460 1005 6 82 2|10|0.875
20 9 7 13317 13597 117 155 64035 12632 116 6 0 199 249 3 5326 319 2|18|0.80556
37 4249 15890 14 19 21593 19 20 14 14364 2|11|0.81944
56 10442 73 47 369 94 661 33 13900 1 37 6678 17214 5348 14024 0 15960 3143 2086 21 545 4 0 51477 1840 38 20068 531 47 2988 1 5317 10 161 5 565 2|37|0.81944
0 21132 523 331 1 6079 21 369 1294 216183 75 2664 65212 5 2578 18620 1 970 64 0 1867 3 1727 4602 24553 75 7 306 29026 3063 5 4517 1395 13646 2|35|0.625
17 87 4345 2965 7792 1 7 13772 5 105881 19548 5 12672 5 22848 11633 3752 1 20 9 575 4 159 81 3467 134530 40 218 143 575 1485 5 120 6224 0 2832 296 64 158 30216 3 5251 2|43|0.45833
0 618 31 51 116 17 29 4546 1418 3 12882 1 100 53 733 158 2153 835 236 68 2|21|0.8333299999999999
2032 0 3171 32 17801 2|6|0.72222
3684 60 134 150 64419 5 45257 1 7090 77 6081 8917 75 4922 12 96 257750 1588 400000 17 4672 24291 1 7569 3498 5 3366 1569 2|29|0.68056
2641 158 69441 14 150 13767 5 5744 5973 2|10|0.8472200000000001
4411 13500 3998 95 170 15023|6|0.98611
1229 1 0 400000 28 1465 192 12110 27 14 7 1005 12 8693 2153 390 326 58 2|19|0.73611
2538 140968 5 1995 177699 938 1903 1 17033 47847 4 44 2153 2|14|0.80556
